""	"sample"	"tumor"	"tissue"	"seq"	"type"	"dataset"
"1"	"phs001866_AP_57"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"2"	"phs001866_AP_63"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"3"	"phs001866_AP_54"	"Metastatic tumor"	"Pleura"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"4"	"phs001866_AP_60"	"Metastatic tumor"	"Skin"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"5"	"phs001866_AP_66"	"Metastatic tumor"	"Liver"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"6"	"phs001866_AP_56"	"Metastatic tumor"	"Bone"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"7"	"phs001866_AP_68"	"Metastatic tumor"	"Lung"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"8"	"phs001866_AP_55"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"9"	"phs001866_AP_67"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"10"	"phs001866_AP_58"	"Metastatic tumor"	"Lymph node"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"11"	"phs001866_AP_64"	"Metastatic tumor"	"Liver"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"12"	"phs001866_AP_53"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"13"	"phs001866_AP_59"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"14"	"phs001866_AP_65"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"15"	"phs001866_AP_51"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"16"	"phs001866_AP_48"	"Metastatic tumor"	"Lung"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"17"	"phs001866_AP_50"	"Metastatic tumor"	"Pleura"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"18"	"phs001866_AP_49"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"19"	"phs001866_AP_52"	"Metastatic tumor"	"Skin"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"20"	"phs001866_AP_47"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"21"	"phs001866_AP_69"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"22"	"phs001866_AP_75"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"23"	"phs001866_AP_72"	"Metastatic tumor"	"Liver"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"24"	"phs001866_AP_78"	"Metastatic tumor"	"Liver"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"25"	"phs001866_AP_84"	"Metastatic tumor"	"Bone"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"26"	"phs001866_AP_80"	"Metastatic tumor"	"Bone"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"27"	"phs001866_AP_79"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"28"	"phs001866_AP_70"	"Metastatic tumor"	"Bone"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"29"	"phs001866_AP_76"	"Metastatic tumor"	"Skin"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"30"	"phs001866_AP_71"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"31"	"phs001866_AP_77"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"32"	"phs001866_AP_83"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"33"	"phs001866_AP_117"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"34"	"phs001866_AP_102"	"Metastatic tumor"	"Bone"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"35"	"phs001866_AP_104"	"Metastatic tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"36"	"phs001866_AP_103"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"37"	"phs001866_AP_118"	"Metastatic tumor"	"Bone"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"38"	"phs001866_AP_101"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"39"	"phs001866_AP_206"	"Metastatic tumor"	"Lymph node"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"40"	"phs001866_AP_218"	"Metastatic tumor"	"Skin"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"41"	"phs001866_AP_235"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"42"	"phs001866_AP_204"	"Metastatic tumor"	"Skin"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"43"	"phs001866_AP_210"	"Metastatic tumor"	"Lymph node"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"44"	"phs001866_AP_216"	"Metastatic tumor"	"Brain"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
